Accession	Organism	Kingdom	Length	Transmembrane	Type	Fold
B6HLU1	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	Fungi	3746	False	-	2
Q38HM4	Mus musculus	Metazoa	350	False	-	3
Q9UBT7	Homo sapiens	Metazoa	734	False	-	4
Q8LJT8	Arabidopsis thaliana	Viridiplantae	743	False	-	0
P05085	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	880	False	-	1
P33419	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	253	False	-	2
Q03071	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	99	False	-	3
Q12192	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	310	False	-	4
Q4L180	Homo sapiens	Metazoa	1135	False	-	0
P03902	Bos taurus	Metazoa	98	True	-	1
O54693	Mus musculus	Metazoa	391	True	-	2
Q9Y237	Homo sapiens	Metazoa	131	False	-	3
Q9FFD2	Arabidopsis thaliana	Viridiplantae	348	False	-	4
Q8RWV8	Arabidopsis thaliana	Viridiplantae	442	False	-	0
Q9CQT7	Mus musculus	Metazoa	168	False	-	1
Q08096	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367	False	-	2
Q9LDY5	Arabidopsis thaliana	Viridiplantae	247	False	-	3
Q9P6P2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	265	False	-	4
Q9Y5J6	Homo sapiens	Metazoa	103	False	-	0
Q9XIK0	Arabidopsis thaliana	Viridiplantae	179	False	-	1
Q9NTJ3	Homo sapiens	Metazoa	1288	False	-	2
Q8BVG4	Mus musculus	Metazoa	862	False	-	3
Q05027	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	157	False	-	4
P53920	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	997	False	-	0
P30706	Pisum sativum	Viridiplantae	457	False	-	1
Q9Y3U8	Homo sapiens	Metazoa	105	False	-	2
P46963	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	296	False	-	3
Q8TAF3	Homo sapiens	Metazoa	677	False	-	4
Q9LSA9	Arabidopsis thaliana	Viridiplantae	339	False	-	0
Q2VWA4	Homo sapiens	Metazoa	1015	False	-	1
Q14241	Homo sapiens	Metazoa	772	False	-	2
Q9P790	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	316	False	-	3
Q9CZX7	Mus musculus	Metazoa	257	False	-	4
P35203	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	478	False	-	0
Q86VD7	Homo sapiens	Metazoa	318	True	-	1
B0XTT5	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	247	False	-	2
O63075	Chlamydomonas reinhardtii	Viridiplantae	238	True	-	3
Q9H1I8	Homo sapiens	Metazoa	757	False	-	4
Q92546	Homo sapiens	Metazoa	391	False	-	0
Q8LBP4	Arabidopsis thaliana	Viridiplantae	462	False	-	1
O14284	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	188	False	-	2
Q9SV15	Arabidopsis thaliana	Viridiplantae	325	False	-	3
Q99M87	Mus musculus	Metazoa	480	False	-	4
P53540	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	846	False	-	0
Q9LMT7	Arabidopsis thaliana	Viridiplantae	478	False	-	1
Q5TB80	Homo sapiens	Metazoa	1403	False	-	2
Q8CD10	Mus musculus	Metazoa	432	False	-	3
Q94AQ9	Arabidopsis thaliana	Viridiplantae	260	False	-	4
O14893	Homo sapiens	Metazoa	280	False	-	0
O04714	Arabidopsis thaliana	Viridiplantae	326	True	-	1
P49017	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	307	False	-	2
Q84XV2	Arabidopsis thaliana	Viridiplantae	386	False	-	3
G5EDM7	Caenorhabditis elegans	Metazoa	627	False	-	4
Q1H595	Arabidopsis thaliana	Viridiplantae	93	False	-	0
Q8NB16	Homo sapiens	Metazoa	471	False	-	1
Q8NBQ7	Homo sapiens	Metazoa	271	True	-	2
O74957	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	834	False	-	3
P32807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	602	False	-	4
Q8N7J2	Homo sapiens	Metazoa	671	False	-	0
Q9HBM0	Homo sapiens	Metazoa	779	False	-	1
P52868	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283	False	-	2
Q9SX65	Arabidopsis thaliana	Viridiplantae	156	False	-	3
P53720	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	384	False	-	4
Q9UUI3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	601	False	-	0
Q04613	Arabidopsis thaliana	Viridiplantae	192	True	-	1
Q9BLG3	Dictyostelium discoideum	Other	431	True	-	2
A0A2I0C2C6	Plasmodium falciparum (isolate NF54)	Other	3078	False	-	3
P21580	Homo sapiens	Metazoa	790	False	-	4
P82244	Spinacia oleracea	Viridiplantae	152	False	-	0
Q6YSY5	Oryza sativa subsp. japonica	Viridiplantae	357	False	-	1
A0A1C3NSL9	Caenorhabditis elegans	Metazoa	1644	False	-	2
Q9FVU9	Arabidopsis thaliana	Viridiplantae	358	False	-	3
Q93009	Homo sapiens	Metazoa	1102	False	-	4
Q5SFM8	Mus musculus	Metazoa	1060	False	-	0
Q6E434	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	485	False	-	1
O94829	Homo sapiens	Metazoa	963	False	-	2
Q9ZUX4	Arabidopsis thaliana	Viridiplantae	113	False	-	3
P19538	Drosophila melanogaster	Metazoa	1397	False	-	4
Q08B36	Xenopus laevis	Metazoa	374	False	-	0
Q86VP6	Homo sapiens	Metazoa	1230	False	-	1
Q9VW47	Drosophila melanogaster	Metazoa	2531	False	-	2
S7VVK4	Toxoplasma gondii (strain ATCC 50853 / GT1)	Other	4367	False	-	3
O54825	Mus musculus	Metazoa	436	False	-	4
P38705	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	446	False	-	0
Q8BJ64	Mus musculus	Metazoa	596	False	-	1
Q6PG16	Mus musculus	Metazoa	667	False	-	2
P81909	Drosophila melanogaster	Metazoa	397	True	-	3
Q07914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	168	True	-	4
Q80SU7	Mus musculus	Metazoa	2427	False	-	0
P32944	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	819	False	-	1
Q91WC0	Mus musculus	Metazoa	594	False	-	2
P13469	Drosophila melanogaster	Metazoa	542	False	-	3
Q9CQJ4	Mus musculus	Metazoa	336	False	-	4
Q9JIX9	Mus musculus	Metazoa	511	False	-	0
Q8BUE4	Mus musculus	Metazoa	373	True	-	1
Q9C6I6	Arabidopsis thaliana	Viridiplantae	363	False	-	2
Q7S5N0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	364	False	-	3
Q8RY71	Arabidopsis thaliana	Viridiplantae	341	False	-	4
Q8W104	Arabidopsis thaliana	Viridiplantae	593	False	-	0
Q9FJH5	Arabidopsis thaliana	Viridiplantae	283	False	-	1
Q9ZV24	Arabidopsis thaliana	Viridiplantae	148	True	-	2
P40023	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	145	False	-	3
Q8NG66	Homo sapiens	Metazoa	645	False	-	4
Q3TLD5	Mus musculus	Metazoa	531	False	-	0
O95833	Homo sapiens	Metazoa	236	True	-	1
Q9LEX1	Arabidopsis thaliana	Viridiplantae	510	True	-	2
Q8R3P9	Mus musculus	Metazoa	1054	False	-	3
P52591	Rattus norvegicus	Metazoa	1199	True	-	4
Q6P0N0	Homo sapiens	Metazoa	1132	False	-	0
O13795	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	402	False	-	1
Q9Y5N6	Homo sapiens	Metazoa	252	False	-	2
B1AXD8	Mus musculus	Metazoa	201	False	-	3
P78549	Homo sapiens	Metazoa	312	False	-	4
P39015	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	273	False	-	0
Q9JM80	Rattus norvegicus	Metazoa	424	True	-	1
Q9XWR6	Caenorhabditis elegans	Metazoa	248	False	-	2
Q61510	Mus musculus	Metazoa	634	False	-	3
Q40089	Ipomoea batatas	Viridiplantae	200	False	-	4
O94294	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	886	False	-	0
P23542	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	418	False	-	1
Q96GJ1	Homo sapiens	Metazoa	504	False	-	2
Q16533	Homo sapiens	Metazoa	368	False	-	3
P36516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	390	False	-	4
P50531	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	606	False	-	0
Q12955	Homo sapiens	Metazoa	4377	False	-	1
O13915	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	265	False	-	2
P68350	Arabidopsis thaliana	Viridiplantae	175	False	-	3
Q924K8	Mus musculus	Metazoa	591	False	-	4
O60952	Dictyostelium discoideum	Other	199	False	-	0
O13326	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	429	False	-	1
Q8NI37	Homo sapiens	Metazoa	304	False	-	2
Q03246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	237	False	-	3
Q42510	Arabidopsis thaliana	Viridiplantae	1451	False	-	4
O70433	Mus musculus	Metazoa	279	False	-	0
O75934	Homo sapiens	Metazoa	225	False	-	1
O43325	Homo sapiens	Metazoa	122	False	-	2
Q94131	Caenorhabditis elegans	Metazoa	335	False	-	3
Q9C8L2	Arabidopsis thaliana	Viridiplantae	287	False	-	4
P38777	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	243	False	-	0
Q9ULP9	Homo sapiens	Metazoa	559	False	-	1
P70444	Mus musculus	Metazoa	195	False	-	2
P12853	Chlamydomonas reinhardtii	Viridiplantae	291	False	-	3
Q9USY4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	527	False	-	4
Q96QA5	Homo sapiens	Metazoa	445	False	-	0
F4KBW6	Arabidopsis thaliana	Viridiplantae	1838	False	-	1
Q9BRS8	Homo sapiens	Metazoa	491	False	-	2
Q9LVG4	Arabidopsis thaliana	Viridiplantae	495	False	-	3
P33418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1100	False	-	4
P48526	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1002	False	-	0
Q9Y5B0	Homo sapiens	Metazoa	961	False	-	1
F4JHA2	Arabidopsis thaliana	Viridiplantae	884	False	-	2
P40317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	901	False	-	3
Q96QU8	Homo sapiens	Metazoa	1125	False	-	4
P82248	Spinacia oleracea	Viridiplantae	168	False	-	0
Q9BRA0	Homo sapiens	Metazoa	125	False	-	1
Q8L8M9	Arabidopsis thaliana	Viridiplantae	442	False	-	2
P18491	Drosophila melanogaster	Metazoa	199	False	-	3
A0A286YD83	Mus musculus	Metazoa	63	True	-	4
Q16514	Homo sapiens	Metazoa	161	False	-	0
Q8GWA2	Arabidopsis thaliana	Viridiplantae	273	False	-	1
O75832	Homo sapiens	Metazoa	226	False	-	2
Q5A4H5	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	731	False	-	3
Q96EV2	Homo sapiens	Metazoa	1170	False	-	4
O94687	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	549	False	-	0
Q96AQ6	Homo sapiens	Metazoa	731	False	-	1
Q21733	Caenorhabditis elegans	Metazoa	546	False	-	2
P38768	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	344	False	-	3
P26370	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	528	False	-	4
Q2WG80	Danio rerio	Metazoa	140	False	-	0
P25992	Drosophila melanogaster	Metazoa	1002	False	-	1
Q8BHN1	Mus musculus	Metazoa	524	False	-	2
P07665	Drosophila melanogaster	Metazoa	356	False	-	3
Q8NB78	Homo sapiens	Metazoa	822	False	-	4
Q92759	Homo sapiens	Metazoa	462	False	-	0
O60053	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	440	False	-	1
Q3T040	Bos taurus	Metazoa	242	False	-	2
Q6K881	Oryza sativa subsp. japonica	Viridiplantae	565	False	-	3
Q22024	Caenorhabditis elegans	Metazoa	543	False	-	4
Q96IZ0	Homo sapiens	Metazoa	340	False	-	0
Q9GZL7	Homo sapiens	Metazoa	423	False	-	1
P04637	Homo sapiens	Metazoa	393	False	-	2
P32445	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	135	False	-	3
P35790	Homo sapiens	Metazoa	457	False	-	4
P32266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	881	True	-	0
Q94ID2	Arabidopsis thaliana	Viridiplantae	330	False	-	1
Q16891	Homo sapiens	Metazoa	758	True	-	2
P36162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	False	-	3
Q9FGQ9	Arabidopsis thaliana	Viridiplantae	177	False	-	4
P62847	Homo sapiens	Metazoa	133	False	-	0
O88597	Mus musculus	Metazoa	448	False	-	1
Q8TCY5	Homo sapiens	Metazoa	172	True	-	2
G5EFY4	Caenorhabditis elegans	Metazoa	286	False	-	3
Q8L774	Arabidopsis thaliana	Viridiplantae	389	False	-	4
Q9VLP3	Drosophila melanogaster	Metazoa	122	False	-	0
P39683	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	429	False	-	1
P42117	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	82	True	-	2
Q09884	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1374	False	-	3
P49299	Cucurbita maxima	Viridiplantae	516	False	-	4
Q35914	Sus scrofa	Metazoa	67	True	-	0
P08050	Rattus norvegicus	Metazoa	382	True	-	1
P81183	Mus musculus	Metazoa	526	False	-	2
Q08058	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	207	False	-	3
P54797	Mus musculus	Metazoa	276	False	-	4
A0A120KVR8	Trypanosoma brucei brucei	Other	1728	False	-	0
Q8R0S1	Mus musculus	Metazoa	413	False	-	1
O74424	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1837	False	-	2
P06774	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	265	False	-	3
Q8W4J9	Arabidopsis thaliana	Viridiplantae	908	False	-	4
Q3KNY0	Mus musculus	Metazoa	2849	False	-	0
Q12072	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	812	False	-	1
Q9NY87	Homo sapiens	Metazoa	97	False	-	2
Q8H1D4	Arabidopsis thaliana	Viridiplantae	355	False	-	3
Q9P6R0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	492	False	-	4
P32338	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	300	False	-	0
P26434	Rattus norvegicus	Metazoa	717	False	-	1
Q9UL49	Homo sapiens	Metazoa	500	False	-	2
Q91876	Xenopus laevis	Metazoa	720	False	-	3
Q9D494	Mus musculus	Metazoa	218	False	-	4
P38961	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	392	False	-	0
P35731	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	278	False	-	1
Q6PJT7	Homo sapiens	Metazoa	736	False	-	2
Q12386	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	881	False	-	3
Q96DZ5	Homo sapiens	Metazoa	547	False	-	4
Q6TA49	Sus scrofa	Metazoa	289	True	-	0
A0A1S4BDC4	Nicotiana tabacum	Viridiplantae	790	False	-	1
P56286	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	306	False	-	2
Q06339	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	672	False	-	3
P39685	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1337	False	-	4
Q1MTQ9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	180	False	-	0
P81900	Drosophila melanogaster	Metazoa	377	False	-	1
O42924	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	272	False	-	2
Q9UT76	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	393	False	-	3
P25615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	582	False	-	4
O95847	Homo sapiens	Metazoa	323	True	-	0
Q9NVT9	Homo sapiens	Metazoa	282	False	-	1
O08715	Mus musculus	Metazoa	857	False	-	2
O14253	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	780	False	-	3
A1A6M1	Arabidopsis thaliana	Viridiplantae	387	False	-	4
Q9VWN4	Drosophila melanogaster	Metazoa	1150	False	-	0
O94643	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	441	False	-	1
P70669	Mus musculus	Metazoa	749	True	-	2
Q7TNG8	Mus musculus	Metazoa	484	False	-	3
Q8GUT5	Arabidopsis thaliana	Viridiplantae	288	False	-	4
Q7Z2E3	Homo sapiens	Metazoa	356	False	-	0
Q8L8Z1	Arabidopsis thaliana	Viridiplantae	190	True	-	1
Q2EMV9	Mus musculus	Metazoa	1817	False	-	2
P25638	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111	False	-	3
P25359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394	False	-	4
Q9LXX5	Arabidopsis thaliana	Viridiplantae	262	False	-	0
Q12309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	687	False	-	1
Q7Z614	Homo sapiens	Metazoa	316	False	-	2
Q92624	Homo sapiens	Metazoa	585	False	-	3
P06100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	191	False	-	4
Q9BXP2	Homo sapiens	Metazoa	914	True	-	0
Q96EU6	Homo sapiens	Metazoa	259	False	-	1
Q13950	Homo sapiens	Metazoa	521	False	-	2
Q9Y4K3	Homo sapiens	Metazoa	522	False	-	3
Q4ADV7	Homo sapiens	Metazoa	1423	False	-	4
P23511	Homo sapiens	Metazoa	347	False	-	0
P05435	Spinacia oleracea	Viridiplantae	364	False	-	1
Q05043	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	376	False	-	2
P36037	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	715	False	-	3
Q16773	Homo sapiens	Metazoa	422	False	-	4
Q9NZ09	Homo sapiens	Metazoa	502	False	-	0
Q9Y530	Homo sapiens	Metazoa	152	False	-	1
Q10360	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	97	False	-	2
Q8WUQ7	Homo sapiens	Metazoa	758	False	-	3
Q03654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	590	False	-	4
Q9P3U7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	547	True	-	0
Q9CR24	Mus musculus	Metazoa	210	False	-	1
P07255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	59	True	-	2
Q8IVH4	Homo sapiens	Metazoa	418	False	-	3
Q9R269	Mus musculus	Metazoa	1755	False	-	4
P13788	Spinacia oleracea	Viridiplantae	201	False	-	0
P35734	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	292	False	-	1
Q9Y6K9	Homo sapiens	Metazoa	419	False	-	2
O23277	Arabidopsis thaliana	Viridiplantae	1330	False	-	3
Q9H2K2	Homo sapiens	Metazoa	1166	False	-	4
O23680	Arabidopsis thaliana	Viridiplantae	297	True	-	0
Q9UTL6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	225	False	-	1
P40517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327	False	-	2
P19173	Ipomoea batatas	Viridiplantae	64	True	-	3
Q14157	Homo sapiens	Metazoa	1087	False	-	4
P46678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	594	False	-	0
Q9QWH1	Mus musculus	Metazoa	850	False	-	1
Q5M755	Arabidopsis thaliana	Viridiplantae	273	False	-	2
Q6TAS3	Solanum lycopersicum	Viridiplantae	902	False	-	3
P40362	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	594	False	-	4
Q9M2X3	Arabidopsis thaliana	Viridiplantae	295	False	-	0
Q9UF56	Homo sapiens	Metazoa	701	False	-	1
Q8TBR7	Homo sapiens	Metazoa	257	True	-	2
Q7X6P3	Arabidopsis thaliana	Viridiplantae	608	False	-	3
Q96JM7	Homo sapiens	Metazoa	780	False	-	4
Q12018	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	815	False	-	0
P39705	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539	False	-	1
Q05809	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	96	False	-	2
Q06364	Daucus carota	Viridiplantae	489	False	-	3
P26321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	297	False	-	4
P53886	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1748	False	-	0
Q9LRI8	Spinacia oleracea	Viridiplantae	562	False	-	1
O13807	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1072	False	-	2
Q8BWT5	Mus musculus	Metazoa	1523	False	-	3
Q9CPQ8	Mus musculus	Metazoa	103	False	-	4
Q9LY00	Arabidopsis thaliana	Viridiplantae	294	False	-	0
Q84ST4	Oryza sativa subsp. japonica	Viridiplantae	343	False	-	1
F4IN23	Arabidopsis thaliana	Viridiplantae	321	False	-	2
P29617	Drosophila melanogaster	Metazoa	1703	False	-	3
Q96HE9	Homo sapiens	Metazoa	360	False	-	4
P82139	Spinacia oleracea	Viridiplantae	232	False	-	0
A1YKT1	Arabidopsis thaliana	Viridiplantae	433	False	-	1
Q8RWS0	Arabidopsis thaliana	Viridiplantae	124	False	-	2
O13838	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	371	False	-	3
Q5VTT2	Homo sapiens	Metazoa	229	False	-	4
Q8IWY9	Homo sapiens	Metazoa	1227	False	-	0
Q9EQ80	Mus musculus	Metazoa	376	False	-	1
O95625	Homo sapiens	Metazoa	1053	False	-	2
P40063	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	208	False	-	3
P34257	Caenorhabditis elegans	Metazoa	329	False	-	4
Q9HFR0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	437	False	-	0
Q9JHH9	Mus musculus	Metazoa	205	False	-	1
Q13569	Homo sapiens	Metazoa	410	False	-	2
Q86SP6	Homo sapiens	Metazoa	731	True	-	3
Q8NEZ4	Homo sapiens	Metazoa	4911	False	-	4
Q5XG73	Mus musculus	Metazoa	508	False	-	0
Q23544	Caenorhabditis elegans	Metazoa	508	True	-	1
Q6UXV4	Homo sapiens	Metazoa	268	False	-	2
Q9FZD1	Arabidopsis thaliana	Viridiplantae	630	False	-	3
Q08818	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	692	False	-	4
Q9V3Z1	Drosophila melanogaster	Metazoa	484	False	-	0
Q06668	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	471	False	-	1
P42566	Homo sapiens	Metazoa	896	False	-	2
Q8GW29	Arabidopsis thaliana	Viridiplantae	217	False	-	3
F4JW79	Arabidopsis thaliana	Viridiplantae	1493	False	-	4
Q93560	Caenorhabditis elegans	Metazoa	817	False	-	0
Q9YH58	Gallus gallus	Metazoa	541	False	-	1
P38300	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	278	False	-	2
A6ND36	Homo sapiens	Metazoa	823	False	-	3
Q9D219	Mus musculus	Metazoa	1425	False	-	4
Q0WQG8	Arabidopsis thaliana	Viridiplantae	467	True	-	0
Q9D5U8	Mus musculus	Metazoa	673	False	-	1
P82411	Spinacia oleracea	Viridiplantae	116	False	-	2
Q3V0Q6	Mus musculus	Metazoa	470	False	-	3
Q9SL94	Arabidopsis thaliana	Viridiplantae	324	False	-	4
P18494	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	730	False	-	0
B1AZ99	Mus musculus	Metazoa	396	False	-	1
Q07362	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	185	False	-	2
Q42606	Arabidopsis thaliana	Viridiplantae	369	False	-	3
Q99JB8	Mus musculus	Metazoa	424	False	-	4
P49906	Drosophila melanogaster	Metazoa	196	False	-	0
Q9WUI0	Mus musculus	Metazoa	231	False	-	1
Q15649	Homo sapiens	Metazoa	155	False	-	2
Q9SPI9	Chlamydomonas reinhardtii	Viridiplantae	115	True	-	3
Q9FFZ1	Arabidopsis thaliana	Viridiplantae	484	False	-	4
P10627	Drosophila melanogaster	Metazoa	490	False	-	0
P23180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465	False	-	1
Q9FNP4	Arabidopsis thaliana	Viridiplantae	174	False	-	2
Q9S7R7	Arabidopsis thaliana	Viridiplantae	460	False	-	3
P32354	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	571	False	-	4
Q9SHJ5	Arabidopsis thaliana	Viridiplantae	585	False	-	0
Q9QXX8	Mus musculus	Metazoa	484	False	-	1
P40156	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	214	False	-	2
Q9JHU6	Rattus norvegicus	Metazoa	180	False	-	3
P43686	Homo sapiens	Metazoa	418	False	-	4
Q9FLI7	Arabidopsis thaliana	Viridiplantae	108	False	-	0
Q80U87	Mus musculus	Metazoa	1080	False	-	1
A2IDD5	Homo sapiens	Metazoa	438	False	-	2
Q05776	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	175	False	-	3
Q15287	Homo sapiens	Metazoa	305	False	-	4
Q9FLL1	Arabidopsis thaliana	Viridiplantae	602	False	-	0
P47139	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	656	False	-	1
P36213	Hordeum vulgare	Viridiplantae	205	False	-	2
Q15477	Homo sapiens	Metazoa	1246	False	-	3
P01583	Homo sapiens	Metazoa	271	False	-	4
P10823	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	449	False	-	0
Q61884	Mus musculus	Metazoa	491	False	-	1
O00841	Dictyostelium discoideum	Other	802	False	-	2
P09211	Homo sapiens	Metazoa	210	False	-	3
Q5WRN1	Caenorhabditis elegans	Metazoa	301	True	-	4
Q10332	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	830	False	-	0
Q9NQ92	Homo sapiens	Metazoa	184	False	-	1
P43246	Homo sapiens	Metazoa	934	False	-	2
Q9VJL6	Drosophila melanogaster	Metazoa	138	False	-	3
Q9UK73	Homo sapiens	Metazoa	627	False	-	4
Q9Y2D8	Homo sapiens	Metazoa	614	False	-	0
Q8R4C2	Mus musculus	Metazoa	606	False	-	1
P11596	Drosophila melanogaster	Metazoa	197	False	-	2
Q9VBB3	Drosophila melanogaster	Metazoa	328	False	-	3
O04249	Arabidopsis thaliana	Viridiplantae	513	True	-	4
Q9FFF5	Arabidopsis thaliana	Viridiplantae	241	False	-	0
Q8T498	Drosophila melanogaster	Metazoa	1580	False	-	1
Q9VL76	Drosophila melanogaster	Metazoa	613	False	-	2
Q9UKN8	Homo sapiens	Metazoa	822	False	-	3
Q9LFA3	Arabidopsis thaliana	Viridiplantae	434	False	-	4
