Accession	Organism	Kingdom	Length	Cleavage	Type	Fold	Transmembrane
Q9ER97	Mus musculus	Metazoa	151		-	4	False
Q9CAF2	Arabidopsis thaliana	Viridiplantae	216		-	0	False
P59648	Mus musculus	Metazoa	80		-	1	True
P13621	Bos taurus	Metazoa	213		-	2	False
Q9W420	Drosophila melanogaster	Metazoa	1831		-	3	False
Q10168	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	598		-	4	False
Q920Q0	Rattus norvegicus	Metazoa	383		-	0	False
P34537	Caenorhabditis elegans	Metazoa	837		-	1	False
A9LNK9	Arabidopsis thaliana	Viridiplantae	631		-	2	False
Q93YF5	Nicotiana tabacum	Viridiplantae	704		-	3	False
Q7K4V4	Drosophila melanogaster	Metazoa	244		-	4	False
Q08985	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	325		-	0	False
Q9P267	Homo sapiens	Metazoa	1494		-	1	False
Q17RH7	Homo sapiens	Metazoa	139		-	2	False
O77475	Drosophila melanogaster	Metazoa	392		-	3	True
Q96KQ7	Homo sapiens	Metazoa	1210		-	4	False
P21306	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	62		-	0	False
Q9Y4P1	Homo sapiens	Metazoa	393		-	1	False
O74518	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	336		-	2	False
Q9LW26	Arabidopsis thaliana	Viridiplantae	701		-	3	False
Q9JKD9	Mus musculus	Metazoa	465		-	4	False
Q8I615	Plasmodium falciparum (isolate 3D7)	Other	1189		-	0	False
Q8ITW8	Caenorhabditis elegans	Metazoa	504		-	1	False
O95714	Homo sapiens	Metazoa	4834		-	2	False
Q9LLC1	Arabidopsis thaliana	Viridiplantae	255		-	3	False
P53127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1403		-	4	False
P38532	Mus musculus	Metazoa	525		-	0	False
Q20924	Caenorhabditis elegans	Metazoa	473		-	1	False
Q337M4	Oryza sativa subsp. japonica	Viridiplantae	364		-	2	False
Q9QZI7	Rattus norvegicus	Metazoa	287		-	3	False
P49590	Homo sapiens	Metazoa	506		-	4	False
Q9Z0S4	Mus musculus	Metazoa	211		-	0	True
O74350	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	299		-	1	False
Q06616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	221		-	2	False
Q7L5Y1	Homo sapiens	Metazoa	443		-	3	False
P39749	Mus musculus	Metazoa	378		-	4	False
Q9LG05	Arabidopsis thaliana	Viridiplantae	485		-	0	False
Q6ZVD7	Homo sapiens	Metazoa	989		-	1	False
P40159	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	199		-	2	False
Q60560	Mesocricetus auratus	Metazoa	989		-	3	False
Q767K8	Sus scrofa	Metazoa	258		-	4	False
D3ZK93	Rattus norvegicus	Metazoa	322		-	0	True
E9AGH7	Leishmania infantum	Other	365		-	1	False
Q810M6	Mus musculus	Metazoa	228		-	2	False
P16862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	959		-	3	False
O70302	Mus musculus	Metazoa	217		-	4	False
O42647	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	188		-	0	False
Q5QGS0	Homo sapiens	Metazoa	1516		-	1	False
Q8N567	Homo sapiens	Metazoa	271		-	2	False
Q96EY7	Homo sapiens	Metazoa	689		-	3	False
Q9UMX3	Homo sapiens	Metazoa	212		-	4	False
P07195	Homo sapiens	Metazoa	334		-	0	False
G5EEW6	Caenorhabditis elegans	Metazoa	427		-	1	False
Q6IR34	Mus musculus	Metazoa	673		-	2	False
P49773	Homo sapiens	Metazoa	126		-	3	False
Q9H832	Homo sapiens	Metazoa	354		-	4	False
P80483	Amphidinium carterae	Other	323		-	0	False
Q96L50	Homo sapiens	Metazoa	414		-	1	False
Q08687	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	178		-	2	False
Q7Z2G1	Homo sapiens	Metazoa	153		-	3	False
Q6P2C8	Homo sapiens	Metazoa	311		-	4	False
Q04637	Homo sapiens	Metazoa	1599		-	0	False
Q60680	Mus musculus	Metazoa	745		-	1	False
Q9EQR5	Mus musculus	Metazoa	269		-	2	True
Q9SB31	Arabidopsis thaliana	Viridiplantae	404		-	3	False
P39994	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	560		-	4	False
Q8C624	Mus musculus	Metazoa	132		-	0	False
P03871	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	373		-	1	False
Q9U2M1	Caenorhabditis elegans	Metazoa	1499		-	2	False
Q39261	Arabidopsis thaliana	Viridiplantae	150		-	3	False
P34111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1160		-	4	False
Q7L5D6	Homo sapiens	Metazoa	327		-	0	False
O70405	Mus musculus	Metazoa	1051		-	1	False
Q8R400	Mus musculus	Metazoa	80		-	2	True
Q9DB60	Mus musculus	Metazoa	201		-	3	False
Q12415	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	435		-	4	False
P49789	Homo sapiens	Metazoa	147		-	0	False
Q5TGZ0	Homo sapiens	Metazoa	78		-	1	True
Q8BMA3	Mus musculus	Metazoa	555		-	2	False
Q9HD33	Homo sapiens	Metazoa	250		-	3	False
Q8BL80	Mus musculus	Metazoa	702		-	4	False
P28321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	313		-	0	False
Q0WMY5	Arabidopsis thaliana	Viridiplantae	952		-	1	False
Q6NNL9	Arabidopsis thaliana	Viridiplantae	93		-	2	False
P81122	Mus musculus	Metazoa	1321		-	3	False
Q64702	Mus musculus	Metazoa	925		-	4	False
O43542	Homo sapiens	Metazoa	346		-	0	False
Q80XL6	Mus musculus	Metazoa	779		-	1	False
Q15436	Homo sapiens	Metazoa	765		-	2	False
Q8TEK3	Homo sapiens	Metazoa	1537		-	3	False
O13800	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	230		-	4	False
Q02793	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	397		-	0	False
Q6P2H3	Homo sapiens	Metazoa	762		-	1	False
Q6IDB0	Arabidopsis thaliana	Viridiplantae	193		-	2	False
P40073	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367		-	3	True
Q99359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647		-	4	False
G5EEU2	Caenorhabditis elegans	Metazoa	714		-	0	False
Q719H9	Homo sapiens	Metazoa	257		-	1	False
Q9NX58	Homo sapiens	Metazoa	379		-	2	False
P16467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	563		-	3	False
Q9LR91	Arabidopsis thaliana	Viridiplantae	319		-	4	False
Q91ZX6	Mus musculus	Metazoa	588		-	0	False
G5EDW5	Caenorhabditis elegans	Metazoa	952		-	1	False
A4UVI1	Papio anubis	Metazoa	444		-	2	False
Q14690	Homo sapiens	Metazoa	1871		-	3	False
Q5H8A6	Lotus japonicus	Viridiplantae	853		-	4	False
P06180	Xenopus laevis	Metazoa	590		-	0	False
Q03468	Homo sapiens	Metazoa	1493		-	1	False
Q8MQX9	Drosophila melanogaster	Metazoa	1174		-	2	False
P51662	Oryctolagus cuniculus	Metazoa	346		-	3	False
Q15078	Homo sapiens	Metazoa	307		-	4	False
P17256	Rattus norvegicus	Metazoa	395		-	0	False
Q9UDR5	Homo sapiens	Metazoa	926		-	1	False
Q39134	Arabidopsis thaliana	Viridiplantae	476		-	2	True
P87000	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	926		-	3	False
Q03761	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539		-	4	False
P40057	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	128		-	0	False
P86981	Podarcis siculus	Metazoa	81		-	1	False
Q9FGT8	Arabidopsis thaliana	Viridiplantae	186		-	2	False
Q9NX14	Homo sapiens	Metazoa	153		-	3	True
O43082	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	233		-	4	False
Q99K90	Mus musculus	Metazoa	693		-	0	False
Q12514	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	560		-	1	False
Q8LAP6	Arabidopsis thaliana	Viridiplantae	409		-	2	False
P55786	Homo sapiens	Metazoa	919		-	3	False
P47130	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	423		-	4	False
G5EG51	Caenorhabditis elegans	Metazoa	1270		-	0	False
O14867	Homo sapiens	Metazoa	736		-	1	False
Q96EY5	Homo sapiens	Metazoa	273		-	2	False
A1L167	Homo sapiens	Metazoa	161		-	3	False
Q7Z3D4	Homo sapiens	Metazoa	306		-	4	False
Q2V2P9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	66		-	0	True
P19335	Rattus norvegicus	Metazoa	242		-	1	False
P15919	Mus musculus	Metazoa	1040		-	2	False
Q07560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		-	3	True
A6QPQ5	Bos taurus	Metazoa	325		-	4	False
Q9CWR7	Mus musculus	Metazoa	339		-	0	True
Q20977	Caenorhabditis elegans	Metazoa	567		-	1	False
Q9M158	Arabidopsis thaliana	Viridiplantae	466		-	2	False
Q8CG64	Mus musculus	Metazoa	494		-	3	True
Q9LQF2	Arabidopsis thaliana	Viridiplantae	551		-	4	False
P78714	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	530		-	0	False
Q9STG9	Arabidopsis thaliana	Viridiplantae	561		-	1	False
A1XBS5	Homo sapiens	Metazoa	289		-	2	False
Q9LIK9	Arabidopsis thaliana	Viridiplantae	463		-	3	False
P08067	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	215		-	4	True
Q6RFH5	Homo sapiens	Metazoa	385		-	0	False
Q1MTQ0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	692		-	1	False
P94077	Arabidopsis thaliana	Viridiplantae	189		-	2	False
Q9LG26	Arabidopsis thaliana	Viridiplantae	689		-	3	False
Q8GZ79	Arabidopsis thaliana	Viridiplantae	274		-	4	False
P21951	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2222		-	0	False
P38852	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	340		-	1	False
Q9BUA3	Homo sapiens	Metazoa	381		-	2	False
Q6KCD5	Mus musculus	Metazoa	2798		-	3	False
Q9NWQ9	Homo sapiens	Metazoa	140		-	4	False
P26017	Drosophila melanogaster	Metazoa	390		-	0	False
Q9UTR8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	712		-	1	False
Q8C886	Mus musculus	Metazoa	610		-	2	False
P41895	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	735		-	3	False
Q8NEY3	Homo sapiens	Metazoa	305		-	4	False
P36525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	258		-	0	False
Q6EKJ0	Homo sapiens	Metazoa	949		-	1	False
Q5AMH6	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	821		-	2	False
Q6L8Q7	Homo sapiens	Metazoa	609		-	3	False
Q7Z3K3	Homo sapiens	Metazoa	1410		-	4	False
Q3TY86	Mus musculus	Metazoa	605		-	0	False
Q9NRP7	Homo sapiens	Metazoa	1315		-	1	False
Q27368	Drosophila melanogaster	Metazoa	805		-	2	False
Q07930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	204		-	3	False
Q9Y6D0	Homo sapiens	Metazoa	94		-	4	True
Q14686	Homo sapiens	Metazoa	2063		-	0	False
Q5AP80	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	785		-	1	False
P53969	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	484		-	2	False
P38863	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	823		-	3	False
Q07418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	342		-	4	False
P16458	Sterkiella nova	Other	385		-	0	False
Q923B3	Mus musculus	Metazoa	828		-	1	False
F4K410	Arabidopsis thaliana	Viridiplantae	675		-	2	False
Q9H467	Homo sapiens	Metazoa	287		-	3	False
Q10FT0	Oryza sativa subsp. japonica	Viridiplantae	824		-	4	False
O13978	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	184		-	0	False
P0DPG3	Trypanosoma brucei brucei	Other	75		-	1	False
P23506	Mus musculus	Metazoa	227		-	2	False
Q3UUF8	Mus musculus	Metazoa	508		-	3	False
O74792	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	515		-	4	False
P93203	Solanum lycopersicum	Viridiplantae	697		-	0	False
Q5YDB5	Arabidopsis thaliana	Viridiplantae	770		-	1	False
Q9UUG9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1339		-	2	False
Q1K8V2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	91		-	3	False
P06843	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	333		-	4	False
P49815	Homo sapiens	Metazoa	1807		-	0	False
P83456	Gadus morhua	Metazoa	477		-	1	False
O15265	Homo sapiens	Metazoa	892		-	2	False
Q9FE22	Arabidopsis thaliana	Viridiplantae	292		-	3	False
Q22002	Caenorhabditis elegans	Metazoa	582		-	4	False
Q8NFV4	Homo sapiens	Metazoa	306		-	0	False
A0A2I0BUK1	Plasmodium falciparum (isolate NF54)	Other	893		-	1	False
P62750	Homo sapiens	Metazoa	156		-	2	False
Q4WIN1	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	988		-	3	False
Q8C1E7	Mus musculus	Metazoa	343		-	4	False
Q94BS2	Arabidopsis thaliana	Viridiplantae	335		-	0	False
Q9NWT8	Homo sapiens	Metazoa	199		-	1	False
Q8BM47	Mus musculus	Metazoa	761		-	2	False
P36038	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	271		-	3	False
P24473	Rattus norvegicus	Metazoa	226		-	4	False
Q91VJ5	Mus musculus	Metazoa	263		-	0	False
P09108	Tetronarce californica	Metazoa	412		-	1	False
Q92974	Homo sapiens	Metazoa	986		-	2	False
O13046	Xenopus laevis	Metazoa	1127		-	3	False
P09798	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	840		-	4	False
A0A096LP01	Homo sapiens	Metazoa	95		-	0	True
Q66JZ4	Mus musculus	Metazoa	499		-	1	False
O13712	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	844		-	2	False
Q96NE9	Homo sapiens	Metazoa	622		-	3	False
Q9V4P1	Drosophila melanogaster	Metazoa	1239		-	4	False
P47127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394		-	0	False
Q9SW18	Arabidopsis thaliana	Viridiplantae	312		-	1	False
B6HU70	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	Fungi	361		-	2	False
P15796	Caenorhabditis elegans	Metazoa	191		-	3	False
Q63285	Rattus norvegicus	Metazoa	419		-	4	False
Q9HAP6	Homo sapiens	Metazoa	207		-	0	False
Q9W413	Drosophila melanogaster	Metazoa	544		-	1	False
Q9VHI4	Drosophila melanogaster	Metazoa	85		-	2	False
A2RVJ8	Arabidopsis thaliana	Viridiplantae	434		-	3	False
Q9VQI9	Drosophila melanogaster	Metazoa	1673		-	4	False
O94444	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	243		-	0	False
Q9BPX3	Homo sapiens	Metazoa	1015		-	1	False
P51946	Homo sapiens	Metazoa	323		-	2	False
P41133	Mus musculus	Metazoa	119		-	3	False
Q9I7U4	Drosophila melanogaster	Metazoa	18141		-	4	False
Q96C86	Homo sapiens	Metazoa	337		-	0	False
P28070	Homo sapiens	Metazoa	264		-	1	False
P49021	Drosophila melanogaster	Metazoa	1398		-	2	False
F6ZDS4	Mus musculus	Metazoa	2431		-	3	False
P53148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	917		-	4	False
Q9VLL3	Drosophila melanogaster	Metazoa	753		-	0	False
Q8WXG1	Homo sapiens	Metazoa	361		-	1	False
Q9HB21	Homo sapiens	Metazoa	404		-	2	False
P14724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	124		-	3	False
Q84JG2	Arabidopsis thaliana	Viridiplantae	469		-	4	False
P06267	Marchantia polymorpha	Viridiplantae	289		-	0	False
Q62504	Mus musculus	Metazoa	3644		-	1	False
Q95XQ1	Caenorhabditis elegans	Metazoa	578		-	2	False
Q13492	Homo sapiens	Metazoa	652		-	3	False
Q8NHU3	Homo sapiens	Metazoa	365		-	4	True
Q764M6	Sus scrofa	Metazoa	419		-	0	False
J9VI03	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	2377		-	1	False
Q86VZ6	Homo sapiens	Metazoa	243		-	2	False
Q9P0U4	Homo sapiens	Metazoa	656		-	3	False
Q60838	Mus musculus	Metazoa	736		-	4	False
Q9UUK4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	202		-	0	False
O82265	Arabidopsis thaliana	Viridiplantae	1098		-	1	False
P43582	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211		-	2	False
Q8IX15	Homo sapiens	Metazoa	550		-	3	False
Q9LEZ1	Arabidopsis thaliana	Viridiplantae	144		-	4	False
O60729	Homo sapiens	Metazoa	498		-	0	False
O14235	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	348		-	1	False
Q5H943	Homo sapiens	Metazoa	113		-	2	True
P29965	Homo sapiens	Metazoa	261		-	3	True
P06391	Nicotiana tabacum	Viridiplantae	93		-	4	False
F7VJQ1	Homo sapiens	Metazoa	73		-	0	True
Q96P67	Homo sapiens	Metazoa	336		-	1	True
Q05958	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	814		-	2	False
P42945	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1769		-	3	False
P40576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	216		-	4	True
Q9H2G9	Homo sapiens	Metazoa	400		-	0	False
Q9SX99	Arabidopsis thaliana	Viridiplantae	261		-	1	False
Q9FNB0	Arabidopsis thaliana	Viridiplantae	1381		-	2	False
O43715	Homo sapiens	Metazoa	76		-	3	False
Q9UDY8	Homo sapiens	Metazoa	824		-	4	False
Q12046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	339		-	0	False
Q54T86	Dictyostelium discoideum	Other	568		-	1	False
Q80Z29	Rattus norvegicus	Metazoa	491		-	2	False
P32453	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	318		-	3	False
P35817	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	686		-	4	False
Q7YQK4	Oryctolagus cuniculus	Metazoa	503		-	0	True
Q2V3L3	Arabidopsis thaliana	Viridiplantae	387		-	1	False
Q4FZC9	Mus musculus	Metazoa	975		-	2	False
Q59LY1	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	422		-	3	False
Q15365	Homo sapiens	Metazoa	356		-	4	False
Q3E823	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	68		-	0	False
Q10331	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	813		-	1	False
Q12283	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	360		-	2	False
P10900	Hordeum vulgare	Viridiplantae	508		-	3	True
Q9UBI1	Homo sapiens	Metazoa	195		-	4	False
Q9SQI3	Gossypium hirsutum	Viridiplantae	413		-	0	False
Q9NZP6	Homo sapiens	Metazoa	1156		-	1	False
Q9H5I1	Homo sapiens	Metazoa	410		-	2	False
P14868	Homo sapiens	Metazoa	501		-	3	False
O95391	Homo sapiens	Metazoa	586		-	4	False
Q9LW57	Arabidopsis thaliana	Viridiplantae	284		-	0	False
P53895	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	289		-	1	False
Q04177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	643		-	2	False
Q9SU14	Arabidopsis thaliana	Viridiplantae	282		-	3	False
Q8TDR4	Homo sapiens	Metazoa	215		-	4	False
O14894	Homo sapiens	Metazoa	197		-	0	True
F4JMV6	Arabidopsis thaliana	Viridiplantae	399		-	1	False
P90994	Caenorhabditis elegans	Metazoa	187		-	2	False
O74388	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	301		-	3	False
P16989	Homo sapiens	Metazoa	372		-	4	False
P40342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146		-	0	False
O60150	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	361		-	1	False
P25451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	205		-	2	False
Q96JZ2	Homo sapiens	Metazoa	352		-	3	False
Q9UT23	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	834		-	4	False
Q9C0C6	Homo sapiens	Metazoa	399		-	0	False
Q9UJY1	Homo sapiens	Metazoa	196		-	1	False
P16965	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	84		-	2	False
B2RW88	Mus musculus	Metazoa	366		-	3	False
Q9H3P2	Homo sapiens	Metazoa	528		-	4	False
Q06675	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	368		-	0	False
P84090	Homo sapiens	Metazoa	104		-	1	False
A2AG06	Mus musculus	Metazoa	965		-	2	False
O48716	Arabidopsis thaliana	Viridiplantae	465		-	3	False
Q15785	Homo sapiens	Metazoa	309		-	4	False
Q7TMR7	Rattus norvegicus	Metazoa	522		-	0	True
Q8TAM2	Homo sapiens	Metazoa	541		-	1	False
Q8K0U4	Mus musculus	Metazoa	675		-	2	False
P29372	Homo sapiens	Metazoa	298		-	3	False
Q9QZA2	Rattus norvegicus	Metazoa	873		-	4	False
Q9WUM4	Mus musculus	Metazoa	474		-	0	False
Q9LES2	Arabidopsis thaliana	Viridiplantae	478		-	1	False
P25443	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	254		-	2	False
P54860	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	961		-	3	False
Q12906	Homo sapiens	Metazoa	894		-	4	False
Q9QZS8	Mus musculus	Metazoa	854		-	0	False
Q9VXG1	Drosophila melanogaster	Metazoa	1959		-	1	False
O62090	Caenorhabditis elegans	Metazoa	586		-	2	False
Q9H3K6	Homo sapiens	Metazoa	86		-	3	False
P61459	Rattus norvegicus	Metazoa	104		-	4	False
O80845	Arabidopsis thaliana	Viridiplantae	236		-	0	False
Q9XH32	Spinacia oleracea	Viridiplantae	222		-	1	False
Q9P2N6	Homo sapiens	Metazoa	904		-	2	False
Q61471	Mus musculus	Metazoa	362		-	3	False
Q7TS63	Mus musculus	Metazoa	1237		-	4	False
P25364	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	564		-	0	False
P46736	Homo sapiens	Metazoa	316		-	1	False
P06838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210		-	2	False
Q5EAJ7	Strongylocentrotus purpuratus	Metazoa	857		-	3	False
Q84U09	Brassica napus	Viridiplantae	215		-	4	False
P91082	Caenorhabditis elegans	Metazoa	317		-	0	False
P14905	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	389		-	1	False
Q8AWF4	Xenopus laevis	Metazoa	462		-	2	False
P41930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	458		-	3	True
E3Q1H1	Trypanosoma brucei brucei	Other	147		-	4	False
Q9BUE6	Homo sapiens	Metazoa	129		-	0	False
C4R5T1	Komagataella phaffii (strain GS115 / ATCC 20864)	Fungi	384		-	1	False
A5A6S6	Oryctolagus cuniculus	Metazoa	295		-	2	True
Q3ZN08	Mus musculus	Metazoa	260		-	3	False
Q9QYW0	Rattus norvegicus	Metazoa	523		-	4	False
Q9D1N4	Mus musculus	Metazoa	221		-	0	True
Q07799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	665		-	1	False
Q5RHB5	Danio rerio	Metazoa	1447		-	2	False
Q969K3	Homo sapiens	Metazoa	372		-	3	False
P25705	Homo sapiens	Metazoa	553		-	4	False
Q15751	Homo sapiens	Metazoa	4861		-	0	False
Q62315	Mus musculus	Metazoa	1234		-	1	False
Q9CAF5	Arabidopsis thaliana	Viridiplantae	338		-	2	False
Q27607	Drosophila melanogaster	Metazoa	1145		-	3	False
Q6PJF5	Homo sapiens	Metazoa	856		-	4	False
Q45FA5	Physarum polycephalum	Other	426		-	0	False
Q9Y7U4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	328		-	1	False
Q8C0R7	Mus musculus	Metazoa	736		-	2	False
Q9QZ59	Mus musculus	Metazoa	374		-	3	False
Q75GR5	Oryza sativa subsp. japonica	Viridiplantae	281		-	4	False
Q04724	Homo sapiens	Metazoa	770		-	0	False
P49334	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	152		-	1	False
P51636	Homo sapiens	Metazoa	162		-	2	False
Q9C469	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	648		-	3	False
Q9UUI2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	165		-	4	False
Q93442	Caenorhabditis elegans	Metazoa	2862		-	0	False
O13927	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	201		-	1	False
V5IRA3	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	95		-	2	False
Q12887	Homo sapiens	Metazoa	443		-	3	False
P84817	Rattus norvegicus	Metazoa	152		-	4	False
Q66K74	Homo sapiens	Metazoa	1059		-	0	False
Q283Q6	Xenopus laevis	Metazoa	784		-	1	False
E9PVX6	Mus musculus	Metazoa	3177		-	2	False
Q9QXM1	Mus musculus	Metazoa	983		-	3	False
Q9FWA3	Arabidopsis thaliana	Viridiplantae	486		-	4	False
Q9P783	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	480		-	0	False
Q9BUP3	Homo sapiens	Metazoa	242		-	1	False
Q8WU10	Homo sapiens	Metazoa	500		-	2	False
Q8IZA0	Homo sapiens	Metazoa	1049		-	3	True
Q6XUX1	Mus musculus	Metazoa	927		-	4	False
Q9P013	Homo sapiens	Metazoa	229		-	0	False
Q9H5Q4	Homo sapiens	Metazoa	396		-	1	False
P07261	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	785		-	2	False
Q8W191	Arabidopsis thaliana	Viridiplantae	149		-	3	False
Q9VWC6	Drosophila melanogaster	Metazoa	1596		-	4	False
O35473	Mus musculus	Metazoa	141		-	0	False
O74443	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	272		-	1	False
Q05942	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	220		-	2	False
P36957	Homo sapiens	Metazoa	453		-	3	False
P51810	Homo sapiens	Metazoa	404		-	4	True
Q8NF91	Homo sapiens	Metazoa	8797		-	0	False
Q99836	Homo sapiens	Metazoa	296		-	1	False
O74968	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	249		-	2	False
P53171	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	287		-	3	False
